collection,variable,type,size_kb_per_event,doc
PFRhoStrip,PFRhoStrip_subdet,int32_t[],0.2216796875,"HCAL subdetector enum when useHCALGeometry=true: HB=1, HE=2, HF=4; otherwise 0"
PFRhoStrip,PFRhoStrip_sumPt,float[],3.49426171875,PF scalar pT sum in this eta-phi strip
PFRhoStrip,PFRhoStrip_sumPtChargedHadron,float[],2.37360546875,charged-hadron PF scalar pT sum in this eta-phi strip
PFRhoStrip,PFRhoStrip_sumPtElectron,float[],0.222765625,electron PF scalar pT sum in this eta-phi strip
PFRhoStrip,PFRhoStrip_sumPtMuon,float[],0.231171875,muon PF scalar pT sum in this eta-phi strip
PFRhoStrip,PFRhoStrip_sumPtNeutralHadron,float[],1.52810546875,neutral-hadron PF scalar pT sum in this eta-phi strip
PFRhoStrip,PFRhoStrip_sumPtOther,float[],0.2177734375,other PF scalar pT sum in this eta-phi strip
PFRhoStrip,PFRhoStrip_sumPtPhoton,float[],0.70765234375,photon PF scalar pT sum in this eta-phi strip
PFRhoStrip,PFRhoStrip_zside,int32_t[],0.228515625,"HCAL zside when useHCALGeometry=true, otherwise sign of eta center"
PV,PV_chi2,float,0.0009853515625,main primary vertex reduced chi2
PV,PV_ndof,float,0.0012939453125,main primary vertex number of degree of freedom
PV,PV_npvs,uint8_t,0.0010322265625,total number of reconstructed primary vertices
PV,PV_npvsGood,uint8_t,0.0010205078125,number of good reconstructed primary vertices. selection: !isFake && ndof > 4 && abs(z) <= 24 && position.Rho <= 2
PV,PV_score,float,0.001361328125,"main primary vertex score, i.e. sum pt2 of clustered objects"
PV,PV_sumpt2,float,0.0013232421875,sum pt2 of pf charged candidates for the main primary vertex
PV,PV_sumpx,float,0.001619140625,sum px of pf charged candidates for the main primary vertex
PV,PV_sumpy,float,0.001599609375,sum py of pf charged candidates for the main primary vertex
PV,PV_x,float,0.001142578125,main primary vertex position x coordinate
PV,PV_y,float,0.001119140625,main primary vertex position y coordinate
PV,PV_z,float,0.001763671875,main primary vertex position z coordinate
Pileup,Pileup_gpudensity,float,0.0015185546875,Generator-level PU vertices / mm
Pileup,Pileup_nPU,int32_t,0.00125,the number of pileup interactions that have been added to the event in the current bunch crossing
Pileup,Pileup_nTrueInt,float,0.0020634765625,the true mean number of the poisson distribution for this event from which the number of interactions each bunch crossing has been sampled
Pileup,Pileup_pudensity,float,0.000689453125,PU vertices / mm
Pileup,Pileup_sumEOOT,int32_t,0.00181640625,number of early out of time pileup
Pileup,Pileup_sumLOOT,int32_t,0.001453125,number of late out of time pileup
PuppiMET,PuppiMET_phi,float,0.002650390625,phi
PuppiMET,PuppiMET_pt,float,0.0036806640625,pt
RawPuppiMET,RawPuppiMET_phi,float,0.0017275390625,phi
RawPuppiMET,RawPuppiMET_pt,float,0.00155078125,pt
Rho,Rho_fixedGridRhoAll,float,0.0036611328125,"rho from all PF Candidates, no foreground removal"
Rho,Rho_fixedGridRhoFastjetAll,float,0.0036484375,"rho from all PF Candidates, used e.g. for JECs"
Rho,Rho_fixedGridRhoFastjetCentral,float,0.00368359375,rho from all PF Candidates in the central region
Rho,Rho_fixedGridRhoFastjetCentralCalo,float,0.0037421875,rho from calo towers with |eta| < 2.5
Rho,Rho_fixedGridRhoFastjetCentralChargedPileUp,float,0.0036181640625,rho from charged pileup PF Candidates in the central region
Rho,Rho_fixedGridRhoFastjetCentralNeutral,float,0.0035732421875,rho from neutral PF Candidates with |eta| < 2.5
