collection,variable,type,size_kb_per_event,doc
HLT,HLT_DiMu4_Ele9_CaloIdL_TrackIdL_DZ_Mass3p8,bool,0.0001875,Trigger/flag bit (process: HLT)
HLT,HLT_DiMu9_Ele9_CaloIdL_TrackIdL,bool,0.0001767578125,Trigger/flag bit (process: HLT)
HLT,HLT_DiMu9_Ele9_CaloIdL_TrackIdL_DZ,bool,0.0001796875,Trigger/flag bit (process: HLT)
HLT,HLT_DiPFJetAve100_HFJEC,bool,0.0001728515625,Trigger/flag bit (process: HLT)
HLT,HLT_DiPFJetAve140,bool,0.0001630859375,Trigger/flag bit (process: HLT)
HLT,HLT_DiPFJetAve160_HFJEC,bool,0.0001689453125,Trigger/flag bit (process: HLT)
HLT,HLT_DiPFJetAve180_PPSMatch_Xi0p3_QuadJet_Max2ProtPerRP,bool,0.00019921875,Trigger/flag bit (process: HLT)
HLT,HLT_DiPFJetAve200,bool,0.0001630859375,Trigger/flag bit (process: HLT)
HLT,HLT_DiPFJetAve220_HFJEC,bool,0.0001689453125,Trigger/flag bit (process: HLT)
HLT,HLT_DiPFJetAve260,bool,0.0001630859375,Trigger/flag bit (process: HLT)
HLT,HLT_DiPFJetAve260_HFJEC,bool,0.0001689453125,Trigger/flag bit (process: HLT)
HLT,HLT_DiPFJetAve300_HFJEC,bool,0.0001689453125,Trigger/flag bit (process: HLT)
HLT,HLT_DiPFJetAve320,bool,0.0001630859375,Trigger/flag bit (process: HLT)
HLT,HLT_DiPFJetAve40,bool,0.000271484375,Trigger/flag bit (process: HLT)
HLT,HLT_DiPFJetAve400,bool,0.0001630859375,Trigger/flag bit (process: HLT)
HLT,HLT_DiPFJetAve500,bool,0.0001630859375,Trigger/flag bit (process: HLT)
HLT,HLT_DiPFJetAve60,bool,0.000181640625,Trigger/flag bit (process: HLT)
HLT,HLT_DiPFJetAve60_HFJEC,bool,0.0001796875,Trigger/flag bit (process: HLT)
HLT,HLT_DiPFJetAve80,bool,0.000166015625,Trigger/flag bit (process: HLT)
HLT,HLT_DiPFJetAve80_HFJEC,bool,0.000171875,Trigger/flag bit (process: HLT)
HLT,HLT_DiPhoton10Time1ns,bool,0.0001669921875,Trigger/flag bit (process: HLT)
HLT,HLT_DiPhoton10Time1p2ns,bool,0.0001689453125,Trigger/flag bit (process: HLT)
HLT,HLT_DiPhoton10Time1p4ns,bool,0.0001689453125,Trigger/flag bit (process: HLT)
HLT,HLT_DiPhoton10Time1p6ns,bool,0.0001689453125,Trigger/flag bit (process: HLT)
HLT,HLT_DiPhoton10Time1p8ns,bool,0.0001689453125,Trigger/flag bit (process: HLT)
HLT,HLT_DiPhoton10Time2ns,bool,0.0001669921875,Trigger/flag bit (process: HLT)
HLT,HLT_DiPhoton10_CaloIdL,bool,0.00017578125,Trigger/flag bit (process: HLT)
HLT,HLT_DiSC30_18_EIso_AND_HE_Mass70,bool,0.000177734375,Trigger/flag bit (process: HLT)
HLT,HLT_Dimuon0_Jpsi,bool,0.000162109375,Trigger/flag bit (process: HLT)
HLT,HLT_Dimuon0_Jpsi3p5_Muon2,bool,0.0001708984375,Trigger/flag bit (process: HLT)
HLT,HLT_Dimuon0_Jpsi_L1_4R_0er1p5R,bool,0.00017578125,Trigger/flag bit (process: HLT)
HLT,HLT_Dimuon0_Jpsi_L1_NoOS,bool,0.000169921875,Trigger/flag bit (process: HLT)
HLT,HLT_Dimuon0_Jpsi_NoVertexing,bool,0.000173828125,Trigger/flag bit (process: HLT)
HLT,HLT_Dimuon0_Jpsi_NoVertexing_L1_4R_0er1p5R,bool,0.0001875,Trigger/flag bit (process: HLT)
HLT,HLT_Dimuon0_Jpsi_NoVertexing_NoOS,bool,0.0001787109375,Trigger/flag bit (process: HLT)
HLT,HLT_Dimuon0_LowMass,bool,0.0001650390625,Trigger/flag bit (process: HLT)
HLT,HLT_Dimuon0_LowMass_L1_0er1p5,bool,0.0001748046875,Trigger/flag bit (process: HLT)
HLT,HLT_Dimuon0_LowMass_L1_4,bool,0.000169921875,Trigger/flag bit (process: HLT)
HLT,HLT_Dimuon0_LowMass_L1_TM530,bool,0.000173828125,Trigger/flag bit (process: HLT)
HLT,HLT_Dimuon0_Upsilon_L1_4p5,bool,0.000171875,Trigger/flag bit (process: HLT)
HLT,HLT_Dimuon0_Upsilon_L1_4p5er2p0,bool,0.0001767578125,Trigger/flag bit (process: HLT)
HLT,HLT_Dimuon0_Upsilon_L1_4p5er2p0M,bool,0.000177734375,Trigger/flag bit (process: HLT)
HLT,HLT_Dimuon0_Upsilon_Muon_NoL1Mass,bool,0.0001787109375,Trigger/flag bit (process: HLT)
HLT,HLT_Dimuon0_Upsilon_NoVertexing,bool,0.0001767578125,Trigger/flag bit (process: HLT)
HLT,HLT_Dimuon10_Upsilon_y1p4,bool,0.0001708984375,Trigger/flag bit (process: HLT)
HLT,HLT_Dimuon12_Upsilon_y1p4,bool,0.0001708984375,Trigger/flag bit (process: HLT)
HLT,HLT_Dimuon14_Phi_Barrel_Seagulls,bool,0.000177734375,Trigger/flag bit (process: HLT)
HLT,HLT_Dimuon14_PsiPrime,bool,0.0001669921875,Trigger/flag bit (process: HLT)
HLT,HLT_Dimuon14_PsiPrime_noCorrL1,bool,0.00017578125,Trigger/flag bit (process: HLT)
HLT,HLT_Dimuon18_PsiPrime,bool,0.0001669921875,Trigger/flag bit (process: HLT)
HLT,HLT_Dimuon18_PsiPrime_noCorrL1,bool,0.00017578125,Trigger/flag bit (process: HLT)
HLT,HLT_Dimuon24_Phi_noCorrL1,bool,0.0001708984375,Trigger/flag bit (process: HLT)
HLT,HLT_Dimuon24_Upsilon_noCorrL1,bool,0.0001748046875,Trigger/flag bit (process: HLT)
HLT,HLT_Dimuon25_Jpsi,bool,0.0001630859375,Trigger/flag bit (process: HLT)
HLT,HLT_Dimuon25_Jpsi_noCorrL1,bool,0.000171875,Trigger/flag bit (process: HLT)
HLT,HLT_Diphoton20_14_eta1p5_R9IdL_AND_HET_AND_IsoTCaloIdT,bool,0.00019921875,Trigger/flag bit (process: HLT)
HLT,HLT_Diphoton20_14_eta1p5_R9IdL_AND_HE_AND_IsoTCaloIdT,bool,0.0001982421875,Trigger/flag bit (process: HLT)
HLT,HLT_Diphoton22_14_eta1p5_R9IdL_AND_HET_AND_IsoTCaloIdT,bool,0.00019921875,Trigger/flag bit (process: HLT)
HLT,HLT_Diphoton22_14_eta1p5_R9IdL_AND_HE_AND_IsoTCaloIdT,bool,0.0001982421875,Trigger/flag bit (process: HLT)
HLT,HLT_Diphoton24_14_eta1p5_R9IdL_AND_HET_AND_IsoTCaloIdT,bool,0.00019921875,Trigger/flag bit (process: HLT)
HLT,HLT_Diphoton24_16_eta1p5_R9IdL_AND_HET_AND_IsoTCaloIdT,bool,0.00019921875,Trigger/flag bit (process: HLT)
HLT,HLT_Diphoton30_18_R9IdL_AND_HE_AND_IsoCaloId,bool,0.000189453125,Trigger/flag bit (process: HLT)
HLT,HLT_Diphoton30_18_R9IdL_AND_HE_AND_IsoCaloId_Mass55,bool,0.0001962890625,Trigger/flag bit (process: HLT)
HLT,HLT_Diphoton30_22_R9Id_OR_IsoCaloId_AND_HE_R9Id_Mass90,bool,0.00019921875,Trigger/flag bit (process: HLT)
HLT,HLT_Diphoton30_22_R9Id_OR_IsoCaloId_AND_HE_R9Id_Mass95,bool,0.00019921875,Trigger/flag bit (process: HLT)
HLT,HLT_DiphotonMVA14p25_Mass90,bool,0.0001728515625,Trigger/flag bit (process: HLT)
HLT,HLT_DiphotonMVA14p25_Tight_Mass90,bool,0.0001787109375,Trigger/flag bit (process: HLT)
HLT,HLT_DisplacedMu24_MediumChargedIsoDisplacedPFTauHPS24,bool,0.0001982421875,Trigger/flag bit (process: HLT)
HLT,HLT_DoubleCscCluster100,bool,0.0001689453125,Trigger/flag bit (process: HLT)
HLT,HLT_DoubleCscCluster75,bool,0.00016796875,Trigger/flag bit (process: HLT)
HLT,HLT_DoubleEle10_eta1p22_mMax6,bool,0.0001748046875,Trigger/flag bit (process: HLT)
HLT,HLT_DoubleEle24_eta2p1_WPTight_Gsf,bool,0.0001796875,Trigger/flag bit (process: HLT)
HLT,HLT_DoubleEle25_CaloIdL_MW,bool,0.000171875,Trigger/flag bit (process: HLT)
HLT,HLT_DoubleEle27_CaloIdL_MW,bool,0.000171875,Trigger/flag bit (process: HLT)
HLT,HLT_DoubleEle33_CaloIdL_MW,bool,0.000171875,Trigger/flag bit (process: HLT)
HLT,HLT_DoubleEle6p5_eta1p22_mMax6,bool,0.00017578125,Trigger/flag bit (process: HLT)
HLT,HLT_DoubleEle8_CaloIdM_TrackIdM_Mass8_DZ_PFHT350,bool,0.000193359375,Trigger/flag bit (process: HLT)
HLT,HLT_DoubleEle8_CaloIdM_TrackIdM_Mass8_PFHT350,bool,0.0001904296875,Trigger/flag bit (process: HLT)
HLT,HLT_DoubleEle8_eta1p22_mMax6,bool,0.000173828125,Trigger/flag bit (process: HLT)
HLT,HLT_DoubleIsoMu20_eta2p1,bool,0.000169921875,Trigger/flag bit (process: HLT)
HLT,HLT_DoubleL2Mu10NoVtx_2Cha_CosmicSeed_VetoL3Mu0DxyMax1cm,bool,0.000201171875,Trigger/flag bit (process: HLT)
HLT,HLT_DoubleL2Mu10NoVtx_2Cha_VetoL3Mu0DxyMax1cm,bool,0.0001904296875,Trigger/flag bit (process: HLT)
HLT,HLT_DoubleL2Mu12NoVtx_2Cha_CosmicSeed_VetoL3Mu0DxyMax1cm,bool,0.000201171875,Trigger/flag bit (process: HLT)
HLT,HLT_DoubleL2Mu12NoVtx_2Cha_VetoL3Mu0DxyMax1cm,bool,0.0001904296875,Trigger/flag bit (process: HLT)
HLT,HLT_DoubleL2Mu14NoVtx_2Cha_VetoL3Mu0DxyMax1cm,bool,0.0001904296875,Trigger/flag bit (process: HLT)
HLT,HLT_DoubleL2Mu23NoVtx_2Cha,bool,0.000171875,Trigger/flag bit (process: HLT)
HLT,HLT_DoubleL2Mu23NoVtx_2Cha_CosmicSeed,bool,0.0001826171875,Trigger/flag bit (process: HLT)
HLT,HLT_DoubleL2Mu25NoVtx_2Cha,bool,0.000171875,Trigger/flag bit (process: HLT)
HLT,HLT_DoubleL2Mu25NoVtx_2Cha_CosmicSeed,bool,0.0001826171875,Trigger/flag bit (process: HLT)
HLT,HLT_DoubleL2Mu25NoVtx_2Cha_CosmicSeed_Eta2p4,bool,0.000189453125,Trigger/flag bit (process: HLT)
HLT,HLT_DoubleL2Mu25NoVtx_2Cha_Eta2p4,bool,0.0001787109375,Trigger/flag bit (process: HLT)
HLT,HLT_DoubleL2Mu30NoVtx_2Cha_CosmicSeed_Eta2p4,bool,0.000189453125,Trigger/flag bit (process: HLT)
HLT,HLT_DoubleL2Mu30NoVtx_2Cha_Eta2p4,bool,0.0001787109375,Trigger/flag bit (process: HLT)
HLT,HLT_DoubleL2Mu50,bool,0.000162109375,Trigger/flag bit (process: HLT)
HLT,HLT_DoubleL2Mu_L3Mu16NoVtx_VetoL3Mu0DxyMax0p1cm,bool,0.0001923828125,Trigger/flag bit (process: HLT)
HLT,HLT_DoubleL2Mu_L3Mu18NoVtx_VetoL3Mu0DxyMax0p1cm,bool,0.0001923828125,Trigger/flag bit (process: HLT)
HLT,HLT_DoubleL3Mu16_10NoVtx_DxyMin0p01cm,bool,0.0001826171875,Trigger/flag bit (process: HLT)
HLT,HLT_DoubleL3Mu18_10NoVtx_DxyMin0p01cm,bool,0.0001826171875,Trigger/flag bit (process: HLT)
HLT,HLT_DoubleL3Mu20_10NoVtx_DxyMin0p01cm,bool,0.0001826171875,Trigger/flag bit (process: HLT)
HLT,HLT_DoubleL3dTksMu16_10NoVtx_DxyMin0p01cm,bool,0.0001865234375,Trigger/flag bit (process: HLT)
HLT,HLT_DoubleMediumChargedIsoDisplacedPFTauHPS32_Trk1_eta2p1,bool,0.0002021484375,Trigger/flag bit (process: HLT)
HLT,HLT_DoubleMediumChargedIsoDisplacedPFTauHPS32_Trk1_eta2p1_noDxy,bool,0.0002080078125,Trigger/flag bit (process: HLT)
HLT,HLT_DoubleMediumChargedIsoDisplacedPFTauHPS36_Trk1_eta2p1,bool,0.0002021484375,Trigger/flag bit (process: HLT)
HLT,HLT_DoubleMediumDeepTauPFTauHPS30_L2NN_eta2p1_OneProng,bool,0.00019921875,Trigger/flag bit (process: HLT)
HLT,HLT_DoubleMediumDeepTauPFTauHPS30_L2NN_eta2p1_PFJet60,bool,0.0001982421875,Trigger/flag bit (process: HLT)
HLT,HLT_DoubleMediumDeepTauPFTauHPS30_L2NN_eta2p1_PFJet75,bool,0.0001982421875,Trigger/flag bit (process: HLT)
HLT,HLT_DoubleMediumDeepTauPFTauHPS35_L2NN_eta2p1,bool,0.0001904296875,Trigger/flag bit (process: HLT)
HLT,HLT_DoubleMu2_Jpsi_DoubleTrk1_Phi1p05,bool,0.0001826171875,Trigger/flag bit (process: HLT)
HLT,HLT_DoubleMu2_Jpsi_LowPt,bool,0.000169921875,Trigger/flag bit (process: HLT)
HLT,HLT_DoubleMu3_DCA_PFMET50_PFMHT60,bool,0.0001787109375,Trigger/flag bit (process: HLT)
HLT,HLT_DoubleMu3_DCA_PFMET50_PFMHT60_Mass2p0,bool,0.0001865234375,Trigger/flag bit (process: HLT)
HLT,HLT_DoubleMu3_DCA_PFMET50_PFMHT60_Mass2p0_noDCA,bool,0.0001923828125,Trigger/flag bit (process: HLT)
HLT,HLT_DoubleMu3_DZ_PFMET50_PFMHT60,bool,0.000177734375,Trigger/flag bit (process: HLT)
HLT,HLT_DoubleMu3_DZ_PFMET70_PFMHT70,bool,0.000177734375,Trigger/flag bit (process: HLT)
HLT,HLT_DoubleMu3_DZ_PFMET90_PFMHT90,bool,0.000177734375,Trigger/flag bit (process: HLT)
HLT,HLT_DoubleMu3_DoubleEle7p5_CaloIdL_TrackIdL_Upsilon,bool,0.0001962890625,Trigger/flag bit (process: HLT)
HLT,HLT_DoubleMu3_TkMu_DsTau3Mu,bool,0.0001728515625,Trigger/flag bit (process: HLT)
HLT,HLT_DoubleMu3_Trk_Tau3mu,bool,0.000169921875,Trigger/flag bit (process: HLT)
HLT,HLT_DoubleMu3_Trk_Tau3mu_NoL1Mass,bool,0.0001787109375,Trigger/flag bit (process: HLT)
HLT,HLT_DoubleMu43NoFiltersNoVtx,bool,0.000173828125,Trigger/flag bit (process: HLT)
HLT,HLT_DoubleMu48NoFiltersNoVtx,bool,0.000173828125,Trigger/flag bit (process: HLT)
HLT,HLT_DoubleMu4_3_Bs,bool,0.0001640625,Trigger/flag bit (process: HLT)
HLT,HLT_DoubleMu4_3_Displaced_Photon4_BsToMMG,bool,0.0001865234375,Trigger/flag bit (process: HLT)
HLT,HLT_DoubleMu4_3_Jpsi,bool,0.000166015625,Trigger/flag bit (process: HLT)
HLT,HLT_DoubleMu4_3_LowMass,bool,0.0001689453125,Trigger/flag bit (process: HLT)
HLT,HLT_DoubleMu4_3_LowMass_SS,bool,0.000171875,Trigger/flag bit (process: HLT)
HLT,HLT_DoubleMu4_3_Photon4_BsToMMG,bool,0.0001767578125,Trigger/flag bit (process: HLT)
HLT,HLT_DoubleMu4_JpsiTrkTrk_Displaced,bool,0.0001796875,Trigger/flag bit (process: HLT)
HLT,HLT_DoubleMu4_JpsiTrk_Bc,bool,0.000169921875,Trigger/flag bit (process: HLT)
HLT,HLT_DoubleMu4_Jpsi_Displaced,bool,0.000173828125,Trigger/flag bit (process: HLT)
HLT,HLT_DoubleMu4_Jpsi_NoVertexing,bool,0.00017578125,Trigger/flag bit (process: HLT)
HLT,HLT_DoubleMu4_LowMass_Displaced,bool,0.0001767578125,Trigger/flag bit (process: HLT)
HLT,HLT_DoubleMu4_Mass3p8_DZ_PFHT350,bool,0.000177734375,Trigger/flag bit (process: HLT)
HLT,HLT_DoubleMu4_MuMuTrk_Displaced,bool,0.0001767578125,Trigger/flag bit (process: HLT)
HLT,HLT_DoubleMu5_Upsilon_DoubleEle3_CaloIdL_TrackIdL,bool,0.0001943359375,Trigger/flag bit (process: HLT)
HLT,HLT_DoublePFJets100_PNetBTag_0p11,bool,0.0001787109375,Trigger/flag bit (process: HLT)
HLT,HLT_DoublePFJets116MaxDeta1p6_PNet2BTag_0p11,bool,0.000189453125,Trigger/flag bit (process: HLT)
HLT,HLT_DoublePFJets128MaxDeta1p6_PNet2BTag_0p11,bool,0.000189453125,Trigger/flag bit (process: HLT)
HLT,HLT_DoublePFJets200_PNetBTag_0p11,bool,0.0001787109375,Trigger/flag bit (process: HLT)
HLT,HLT_DoublePFJets350_PNetBTag_0p11,bool,0.0001787109375,Trigger/flag bit (process: HLT)
HLT,HLT_DoublePFJets40_PNetBTag_0p11,bool,0.000177734375,Trigger/flag bit (process: HLT)
HLT,HLT_DoublePNetTauhPFJet26_L2NN_eta2p3_PFJet60,bool,0.0001904296875,Trigger/flag bit (process: HLT)
HLT,HLT_DoublePNetTauhPFJet26_L2NN_eta2p3_PFJet75,bool,0.0001904296875,Trigger/flag bit (process: HLT)
HLT,HLT_DoublePNetTauhPFJet30_Medium_L2NN_eta2p3,bool,0.000189453125,Trigger/flag bit (process: HLT)
HLT,HLT_DoublePNetTauhPFJet30_Tight_L2NN_eta2p3,bool,0.0001884765625,Trigger/flag bit (process: HLT)
HLT,HLT_DoublePhoton33_CaloIdL,bool,0.000171875,Trigger/flag bit (process: HLT)
HLT,HLT_DoublePhoton70,bool,0.0001640625,Trigger/flag bit (process: HLT)
HLT,HLT_DoublePhoton85,bool,0.0001640625,Trigger/flag bit (process: HLT)
HLT,HLT_ECALHT800,bool,0.0001591796875,Trigger/flag bit (process: HLT)
HLT,HLT_EcalCalibration,bool,0.0001650390625,Trigger/flag bit (process: HLT)
HLT,HLT_Ele115_CaloIdVT_GsfTrkIdT,bool,0.0001748046875,Trigger/flag bit (process: HLT)
HLT,HLT_Ele12_CaloIdL_TrackIdL_IsoVL_PFJet30,bool,0.000185546875,Trigger/flag bit (process: HLT)
HLT,HLT_Ele135_CaloIdVT_GsfTrkIdT,bool,0.0001748046875,Trigger/flag bit (process: HLT)
HLT,HLT_Ele14_eta2p5_IsoVVVL_Gsf_PFHT200_PNetBTag0p53,bool,0.0001943359375,Trigger/flag bit (process: HLT)
HLT,HLT_Ele15_IsoVVVL_PFHT450,bool,0.0001708984375,Trigger/flag bit (process: HLT)
HLT,HLT_Ele15_IsoVVVL_PFHT450_PFMET50,bool,0.0001787109375,Trigger/flag bit (process: HLT)
HLT,HLT_Ele15_IsoVVVL_PFHT600,bool,0.0001708984375,Trigger/flag bit (process: HLT)
HLT,HLT_Ele16_Ele12_Ele8_CaloIdL_TrackIdL,bool,0.0001826171875,Trigger/flag bit (process: HLT)
HLT,HLT_Ele17_CaloIdM_TrackIdM_PFJet30,bool,0.00018359375,Trigger/flag bit (process: HLT)
HLT,HLT_Ele23_CaloIdL_TrackIdL_IsoVL_PFJet30,bool,0.000185546875,Trigger/flag bit (process: HLT)
HLT,HLT_Ele23_CaloIdM_TrackIdM_PFJet30,bool,0.0001796875,Trigger/flag bit (process: HLT)
HLT,HLT_Ele23_Ele12_CaloIdL_TrackIdL_IsoVL,bool,0.00018359375,Trigger/flag bit (process: HLT)
HLT,HLT_Ele23_Ele12_CaloIdL_TrackIdL_IsoVL_DZ,bool,0.0001865234375,Trigger/flag bit (process: HLT)
HLT,HLT_Ele24_eta2p1_WPTight_Gsf_LooseDeepTauPFTauHPS30_eta2p1_CrossL1,bool,0.0002109375,Trigger/flag bit (process: HLT)
HLT,HLT_Ele24_eta2p1_WPTight_Gsf_PNetTauhPFJet30_Loose_eta2p3_CrossL1,bool,0.0002099609375,Trigger/flag bit (process: HLT)
HLT,HLT_Ele24_eta2p1_WPTight_Gsf_PNetTauhPFJet30_Medium_eta2p3_CrossL1,bool,0.0002109375,Trigger/flag bit (process: HLT)
HLT,HLT_Ele24_eta2p1_WPTight_Gsf_PNetTauhPFJet30_Tight_eta2p3_CrossL1,bool,0.0002099609375,Trigger/flag bit (process: HLT)
HLT,HLT_Ele28_HighEta_SC20_Mass55,bool,0.0001748046875,Trigger/flag bit (process: HLT)
HLT,HLT_Ele28_eta2p1_WPTight_Gsf_HT150,bool,0.0001796875,Trigger/flag bit (process: HLT)
HLT,HLT_Ele30_WPTight_Gsf,bool,0.0001669921875,Trigger/flag bit (process: HLT)
HLT,HLT_Ele30_eta2p1_WPTight_Gsf_CentralPFJet35_EleCleaned,bool,0.00019921875,Trigger/flag bit (process: HLT)
HLT,HLT_Ele32_WPTight_Gsf,bool,0.0001669921875,Trigger/flag bit (process: HLT)
HLT,HLT_Ele32_WPTight_Gsf_L1DoubleEG,bool,0.000177734375,Trigger/flag bit (process: HLT)
HLT,HLT_Ele35_WPTight_Gsf,bool,0.0001669921875,Trigger/flag bit (process: HLT)
HLT,HLT_Ele38_WPTight_Gsf,bool,0.0001669921875,Trigger/flag bit (process: HLT)
HLT,HLT_Ele40_WPTight_Gsf,bool,0.0001669921875,Trigger/flag bit (process: HLT)
HLT,HLT_Ele50_CaloIdVT_GsfTrkIdT_AK8PFJet220_SoftDropMass40,bool,0.0002001953125,Trigger/flag bit (process: HLT)
HLT,HLT_Ele50_CaloIdVT_GsfTrkIdT_AK8PFJet220_SoftDropMass40_PNetBB0p06,bool,0.0002109375,Trigger/flag bit (process: HLT)
HLT,HLT_Ele50_CaloIdVT_GsfTrkIdT_AK8PFJet230_SoftDropMass40,bool,0.0002001953125,Trigger/flag bit (process: HLT)
HLT,HLT_Ele50_CaloIdVT_GsfTrkIdT_AK8PFJet230_SoftDropMass40_PNetBB0p06,bool,0.0002109375,Trigger/flag bit (process: HLT)
HLT,HLT_Ele50_CaloIdVT_GsfTrkIdT_AK8PFJet230_SoftDropMass40_PNetBB0p10,bool,0.0002109375,Trigger/flag bit (process: HLT)
HLT,HLT_Ele50_CaloIdVT_GsfTrkIdT_PFJet165,bool,0.0001826171875,Trigger/flag bit (process: HLT)
HLT,HLT_Ele50_IsoVVVL_PFHT450,bool,0.0001708984375,Trigger/flag bit (process: HLT)
HLT,HLT_Ele8_CaloIdL_TrackIdL_IsoVL_PFJet30,bool,0.0001962890625,Trigger/flag bit (process: HLT)
HLT,HLT_Ele8_CaloIdM_TrackIdM_PFJet30,bool,0.0001904296875,Trigger/flag bit (process: HLT)
HLT,HLT_EphemeralPhysics,bool,0.000166015625,Trigger/flag bit (process: HLT)
HLT,HLT_EphemeralZeroBias,bool,0.0001669921875,Trigger/flag bit (process: HLT)
HLT,HLT_HT170_L1SingleLLPJet_DisplacedDijet40_DisplacedTrack,bool,0.000201171875,Trigger/flag bit (process: HLT)
HLT,HLT_HT200_L1SingleLLPJet_DelayedJet40_DoubleDelay0p5nsTrackless,bool,0.0002080078125,Trigger/flag bit (process: HLT)
HLT,HLT_HT200_L1SingleLLPJet_DelayedJet40_DoubleDelay1nsInclusive,bool,0.0002060546875,Trigger/flag bit (process: HLT)
HLT,HLT_HT200_L1SingleLLPJet_DelayedJet40_SingleDelay1nsTrackless,bool,0.0002060546875,Trigger/flag bit (process: HLT)
HLT,HLT_HT200_L1SingleLLPJet_DelayedJet40_SingleDelay2nsInclusive,bool,0.0002060546875,Trigger/flag bit (process: HLT)
HLT,HLT_HT200_L1SingleLLPJet_DisplacedDijet40_DisplacedTrack,bool,0.000201171875,Trigger/flag bit (process: HLT)
HLT,HLT_HT200_L1SingleLLPJet_DisplacedDijet40_Inclusive1PtrkShortSig5,bool,0.0002099609375,Trigger/flag bit (process: HLT)
HLT,HLT_HT200_L1SingleLLPJet_DisplacedDijet60_DisplacedTrack,bool,0.000201171875,Trigger/flag bit (process: HLT)
HLT,HLT_HT200_L1SingleLLPJet_PFJet60_NeutralHadronFrac0p7,bool,0.0001982421875,Trigger/flag bit (process: HLT)
HLT,HLT_HT200_L1SingleLLPJet_PFJet60_NeutralHadronFrac0p8,bool,0.0001982421875,Trigger/flag bit (process: HLT)
HLT,HLT_HT240_L1SingleLLPJet_DisplacedDijet40_Inclusive1PtrkShortSig5,bool,0.0002099609375,Trigger/flag bit (process: HLT)
HLT,HLT_HT270_L1SingleLLPJet_DisplacedDijet40_DisplacedTrack,bool,0.000201171875,Trigger/flag bit (process: HLT)
HLT,HLT_HT280_L1SingleLLPJet_DisplacedDijet40_Inclusive1PtrkShortSig5,bool,0.0002099609375,Trigger/flag bit (process: HLT)
HLT,HLT_HT300_Beamspot,bool,0.0001640625,Trigger/flag bit (process: HLT)
HLT,HLT_HT320_L1SingleLLPJet_DisplacedDijet60_Inclusive,bool,0.0001962890625,Trigger/flag bit (process: HLT)
HLT,HLT_HT350,bool,0.0001552734375,Trigger/flag bit (process: HLT)
HLT,HLT_HT350_DelayedJet40_SingleDelay1p5To3p5nsInclusive,bool,0.0001982421875,Trigger/flag bit (process: HLT)
HLT,HLT_HT350_DelayedJet40_SingleDelay1p6To3p5nsInclusive,bool,0.0001982421875,Trigger/flag bit (process: HLT)
HLT,HLT_HT350_DelayedJet40_SingleDelay1p75To3p5nsInclusive,bool,0.00019921875,Trigger/flag bit (process: HLT)
HLT,HLT_HT350_DelayedJet40_SingleDelay3nsInclusive,bool,0.00019140625,Trigger/flag bit (process: HLT)
HLT,HLT_HT350_DelayedJet40_SingleDelay3p25nsInclusive,bool,0.0001943359375,Trigger/flag bit (process: HLT)
HLT,HLT_HT350_DelayedJet40_SingleDelay3p5nsInclusive,bool,0.000193359375,Trigger/flag bit (process: HLT)
HLT,HLT_HT360_DisplacedDijet40_Inclusive1PtrkShortSig5,bool,0.0001953125,Trigger/flag bit (process: HLT)
HLT,HLT_HT360_DisplacedDijet45_Inclusive1PtrkShortSig5,bool,0.0001953125,Trigger/flag bit (process: HLT)
HLT,HLT_HT390_DisplacedDijet40_Inclusive1PtrkShortSig5,bool,0.0001953125,Trigger/flag bit (process: HLT)
HLT,HLT_HT390_DisplacedDijet45_Inclusive1PtrkShortSig5,bool,0.0001953125,Trigger/flag bit (process: HLT)
HLT,HLT_HT390eta2p0_DisplacedDijet40_Inclusive1PtrkShortSig5,bool,0.000201171875,Trigger/flag bit (process: HLT)
HLT,HLT_HT400_DisplacedDijet40_DisplacedTrack,bool,0.0001865234375,Trigger/flag bit (process: HLT)
HLT,HLT_HT420_L1SingleLLPJet_DisplacedDijet60_Inclusive,bool,0.0001962890625,Trigger/flag bit (process: HLT)
HLT,HLT_HT425,bool,0.0001552734375,Trigger/flag bit (process: HLT)
HLT,HLT_HT430_DelayedJet40_DoubleDelay0p5nsInclusive,bool,0.000193359375,Trigger/flag bit (process: HLT)
HLT,HLT_HT430_DelayedJet40_DoubleDelay0p5nsTrackless,bool,0.000193359375,Trigger/flag bit (process: HLT)
HLT,HLT_HT430_DelayedJet40_DoubleDelay0p75nsTrackless,bool,0.0001943359375,Trigger/flag bit (process: HLT)
HLT,HLT_HT430_DelayedJet40_DoubleDelay1nsInclusive,bool,0.00019140625,Trigger/flag bit (process: HLT)
HLT,HLT_HT430_DelayedJet40_DoubleDelay1nsTrackless,bool,0.00019140625,Trigger/flag bit (process: HLT)
HLT,HLT_HT430_DelayedJet40_DoubleDelay1p25nsInclusive,bool,0.0001943359375,Trigger/flag bit (process: HLT)
HLT,HLT_HT430_DelayedJet40_DoubleDelay1p5nsInclusive,bool,0.000193359375,Trigger/flag bit (process: HLT)
HLT,HLT_HT430_DelayedJet40_SingleDelay0p5nsInclusive,bool,0.000193359375,Trigger/flag bit (process: HLT)
HLT,HLT_HT430_DelayedJet40_SingleDelay0p5nsTrackless,bool,0.000193359375,Trigger/flag bit (process: HLT)
HLT,HLT_HT430_DelayedJet40_SingleDelay1To1p5nsInclusive,bool,0.0001962890625,Trigger/flag bit (process: HLT)
