file,label,scope,eta_min,eta_max,pt_min,pt_max,n_events,mean_offset_GeV,std_offset_GeV,sem_offset_GeV
/eos/user/t/tchatzis/reco2pico/CMSSW_15_0_4/src/Reco2Pico/PicoProducer/python/workflows/test_pico_pfoffset.root,ChargedHadrons,eta_pt,-3.0,-2.5,3.0,5.0,0,nan,nan,0.0
/eos/user/t/tchatzis/reco2pico/CMSSW_15_0_4/src/Reco2Pico/PicoProducer/python/workflows/test_pico_pfoffset.root,ChargedHadrons,eta_pt,-2.5,-1.5,0.0,0.25,0,nan,nan,0.0
/eos/user/t/tchatzis/reco2pico/CMSSW_15_0_4/src/Reco2Pico/PicoProducer/python/workflows/test_pico_pfoffset.root,ChargedHadrons,eta_pt,-2.5,-1.5,0.25,0.5,86,-0.1420216581589261,0.06085844931793337,0.006562535362813661
/eos/user/t/tchatzis/reco2pico/CMSSW_15_0_4/src/Reco2Pico/PicoProducer/python/workflows/test_pico_pfoffset.root,ChargedHadrons,eta_pt,-2.5,-1.5,0.5,0.75,541,-0.088129219876227,0.10773204937000379,0.00463176257086509
/eos/user/t/tchatzis/reco2pico/CMSSW_15_0_4/src/Reco2Pico/PicoProducer/python/workflows/test_pico_pfoffset.root,ChargedHadrons,eta_pt,-2.5,-1.5,0.75,1.0,541,-0.15083985354967824,0.14424158146515856,0.006201429956077012
/eos/user/t/tchatzis/reco2pico/CMSSW_15_0_4/src/Reco2Pico/PicoProducer/python/workflows/test_pico_pfoffset.root,ChargedHadrons,eta_pt,-2.5,-1.5,1.0,1.5,541,-0.2288747248125767,0.19786439222386434,0.008506854658096181
/eos/user/t/tchatzis/reco2pico/CMSSW_15_0_4/src/Reco2Pico/PicoProducer/python/workflows/test_pico_pfoffset.root,ChargedHadrons,eta_pt,-2.5,-1.5,1.5,2.0,484,-0.3589133949728631,0.3041993754545793,0.013827244338844514
/eos/user/t/tchatzis/reco2pico/CMSSW_15_0_4/src/Reco2Pico/PicoProducer/python/workflows/test_pico_pfoffset.root,ChargedHadrons,eta_pt,-2.5,-1.5,2.0,3.0,336,-0.6149383497229012,0.46774582065765535,0.025517626537654103
/eos/user/t/tchatzis/reco2pico/CMSSW_15_0_4/src/Reco2Pico/PicoProducer/python/workflows/test_pico_pfoffset.root,ChargedHadrons,eta_pt,-2.5,-1.5,3.0,5.0,61,-1.9617095697732245,0.6664548100376454,0.085330794493491
/eos/user/t/tchatzis/reco2pico/CMSSW_15_0_4/src/Reco2Pico/PicoProducer/python/workflows/test_pico_pfoffset.root,ChargedHadrons,eta_pt,-1.5,0.0,0.0,0.25,0,nan,nan,0.0
/eos/user/t/tchatzis/reco2pico/CMSSW_15_0_4/src/Reco2Pico/PicoProducer/python/workflows/test_pico_pfoffset.root,ChargedHadrons,eta_pt,-1.5,0.0,0.25,0.5,0,nan,nan,0.0
/eos/user/t/tchatzis/reco2pico/CMSSW_15_0_4/src/Reco2Pico/PicoProducer/python/workflows/test_pico_pfoffset.root,ChargedHadrons,eta_pt,-1.5,0.0,0.5,0.75,541,-0.032220034001355174,0.06752507623741859,0.0029031297793019615
/eos/user/t/tchatzis/reco2pico/CMSSW_15_0_4/src/Reco2Pico/PicoProducer/python/workflows/test_pico_pfoffset.root,ChargedHadrons,eta_pt,-1.5,0.0,0.75,1.0,541,-0.09896162317154668,0.1327016017552111,0.005705287476641736
/eos/user/t/tchatzis/reco2pico/CMSSW_15_0_4/src/Reco2Pico/PicoProducer/python/workflows/test_pico_pfoffset.root,ChargedHadrons,eta_pt,-1.5,0.0,1.0,1.5,541,-0.0863698571017692,0.12267992665872603,0.005274422011065671
/eos/user/t/tchatzis/reco2pico/CMSSW_15_0_4/src/Reco2Pico/PicoProducer/python/workflows/test_pico_pfoffset.root,ChargedHadrons,eta_pt,-1.5,0.0,1.5,2.0,444,-0.15901394688406578,0.2401496109579664,0.011396996170880289
/eos/user/t/tchatzis/reco2pico/CMSSW_15_0_4/src/Reco2Pico/PicoProducer/python/workflows/test_pico_pfoffset.root,ChargedHadrons,eta_pt,-1.5,0.0,2.0,3.0,296,-0.27677771989240413,0.3668315060177853,0.021321648195703338
/eos/user/t/tchatzis/reco2pico/CMSSW_15_0_4/src/Reco2Pico/PicoProducer/python/workflows/test_pico_pfoffset.root,ChargedHadrons,eta_pt,-1.5,0.0,3.0,5.0,85,-1.1883343567523885,0.6173559880876527,0.06696165856647167
/eos/user/t/tchatzis/reco2pico/CMSSW_15_0_4/src/Reco2Pico/PicoProducer/python/workflows/test_pico_pfoffset.root,ChargedHadrons,eta_pt,0.0,1.5,0.0,0.25,0,nan,nan,0.0
/eos/user/t/tchatzis/reco2pico/CMSSW_15_0_4/src/Reco2Pico/PicoProducer/python/workflows/test_pico_pfoffset.root,ChargedHadrons,eta_pt,0.0,1.5,0.25,0.5,0,nan,nan,0.0
/eos/user/t/tchatzis/reco2pico/CMSSW_15_0_4/src/Reco2Pico/PicoProducer/python/workflows/test_pico_pfoffset.root,ChargedHadrons,eta_pt,0.0,1.5,0.5,0.75,541,-0.029868524921170144,0.06193637943459657,0.0026628529366855076
/eos/user/t/tchatzis/reco2pico/CMSSW_15_0_4/src/Reco2Pico/PicoProducer/python/workflows/test_pico_pfoffset.root,ChargedHadrons,eta_pt,0.0,1.5,0.75,1.0,541,-0.10627985286755877,0.12507597031342957,0.005377435973789977
/eos/user/t/tchatzis/reco2pico/CMSSW_15_0_4/src/Reco2Pico/PicoProducer/python/workflows/test_pico_pfoffset.root,ChargedHadrons,eta_pt,0.0,1.5,1.0,1.5,541,-0.09014564985046254,0.13116207467395555,0.0056390980376262185
/eos/user/t/tchatzis/reco2pico/CMSSW_15_0_4/src/Reco2Pico/PicoProducer/python/workflows/test_pico_pfoffset.root,ChargedHadrons,eta_pt,0.0,1.5,1.5,2.0,442,-0.16355276511211952,0.23854616373449042,0.011346483920513295
/eos/user/t/tchatzis/reco2pico/CMSSW_15_0_4/src/Reco2Pico/PicoProducer/python/workflows/test_pico_pfoffset.root,ChargedHadrons,eta_pt,0.0,1.5,2.0,3.0,318,-0.2720309663864157,0.3413313166324373,0.019140909768704552
/eos/user/t/tchatzis/reco2pico/CMSSW_15_0_4/src/Reco2Pico/PicoProducer/python/workflows/test_pico_pfoffset.root,ChargedHadrons,eta_pt,0.0,1.5,3.0,5.0,97,-1.1759845700460612,0.5874465327341689,0.059646158423267946
/eos/user/t/tchatzis/reco2pico/CMSSW_15_0_4/src/Reco2Pico/PicoProducer/python/workflows/test_pico_pfoffset.root,ChargedHadrons,eta_pt,1.5,2.5,0.0,0.25,0,nan,nan,0.0
