file,label,eta_min,eta_max,pt_min,pt_max,nvtx_center,n_events,mean_offset_GeV,mean_offset_error_GeV
/eos/user/t/tchatzis/reco2pico/CMSSW_15_0_4/src/Reco2Pico/PicoProducer/python/workflows/test_pico_pfoffset.root,ChargedHadrons,-3.0,-2.5,1.0,1.5,72.5,15.0,-0.018915053154341877,0.02160193642990854
/eos/user/t/tchatzis/reco2pico/CMSSW_15_0_4/src/Reco2Pico/PicoProducer/python/workflows/test_pico_pfoffset.root,ChargedHadrons,-3.0,-2.5,1.0,1.5,77.5,12.0,-0.020782991778105497,0.013914391958760758
/eos/user/t/tchatzis/reco2pico/CMSSW_15_0_4/src/Reco2Pico/PicoProducer/python/workflows/test_pico_pfoffset.root,ChargedHadrons,-3.0,-2.5,1.5,2.0,42.5,1.0,-0.013175820000469685,0.0
/eos/user/t/tchatzis/reco2pico/CMSSW_15_0_4/src/Reco2Pico/PicoProducer/python/workflows/test_pico_pfoffset.root,ChargedHadrons,-3.0,-2.5,1.5,2.0,47.5,2.0,-0.01740573486313224,0.0018076997353287543
/eos/user/t/tchatzis/reco2pico/CMSSW_15_0_4/src/Reco2Pico/PicoProducer/python/workflows/test_pico_pfoffset.root,ChargedHadrons,-3.0,-2.5,1.5,2.0,52.5,1.0,-0.03397437930107117,0.0
/eos/user/t/tchatzis/reco2pico/CMSSW_15_0_4/src/Reco2Pico/PicoProducer/python/workflows/test_pico_pfoffset.root,ChargedHadrons,-3.0,-2.5,1.5,2.0,67.5,1.0,-0.02424481138586998,0.0
/eos/user/t/tchatzis/reco2pico/CMSSW_15_0_4/src/Reco2Pico/PicoProducer/python/workflows/test_pico_pfoffset.root,ChargedHadrons,-3.0,-2.5,2.0,3.0,62.5,1.0,-0.1876242309808731,0.0
/eos/user/t/tchatzis/reco2pico/CMSSW_15_0_4/src/Reco2Pico/PicoProducer/python/workflows/test_pico_pfoffset.root,ChargedHadrons,-2.5,-1.5,0.25,0.5,67.5,1.0,-0.050701454281806946,0.0
/eos/user/t/tchatzis/reco2pico/CMSSW_15_0_4/src/Reco2Pico/PicoProducer/python/workflows/test_pico_pfoffset.root,ChargedHadrons,-2.5,-1.5,0.25,0.5,72.5,3.0,-0.07413046061992645,0.017270313065219523
/eos/user/t/tchatzis/reco2pico/CMSSW_15_0_4/src/Reco2Pico/PicoProducer/python/workflows/test_pico_pfoffset.root,ChargedHadrons,-2.5,-1.5,0.25,0.5,77.5,3.0,-0.06975302596886952,0.011440267907366273
/eos/user/t/tchatzis/reco2pico/CMSSW_15_0_4/src/Reco2Pico/PicoProducer/python/workflows/test_pico_pfoffset.root,ChargedHadrons,-2.5,-1.5,0.5,0.75,42.5,45.0,-0.0788897720993393,0.00791428784049884
/eos/user/t/tchatzis/reco2pico/CMSSW_15_0_4/src/Reco2Pico/PicoProducer/python/workflows/test_pico_pfoffset.root,ChargedHadrons,-2.5,-1.5,0.5,0.75,47.5,58.0,-0.06401999426427586,0.006300781730307723
/eos/user/t/tchatzis/reco2pico/CMSSW_15_0_4/src/Reco2Pico/PicoProducer/python/workflows/test_pico_pfoffset.root,ChargedHadrons,-2.5,-1.5,0.5,0.75,52.5,47.0,-0.04326641987117522,0.0069011089550242415
/eos/user/t/tchatzis/reco2pico/CMSSW_15_0_4/src/Reco2Pico/PicoProducer/python/workflows/test_pico_pfoffset.root,ChargedHadrons,-2.5,-1.5,0.5,0.75,57.5,60.0,-0.037190396996447814,0.005029290915661809
/eos/user/t/tchatzis/reco2pico/CMSSW_15_0_4/src/Reco2Pico/PicoProducer/python/workflows/test_pico_pfoffset.root,ChargedHadrons,-2.5,-1.5,0.5,0.75,62.5,77.0,-0.03830698998826375,0.004854418799925602
/eos/user/t/tchatzis/reco2pico/CMSSW_15_0_4/src/Reco2Pico/PicoProducer/python/workflows/test_pico_pfoffset.root,ChargedHadrons,-2.5,-1.5,0.5,0.75,67.5,67.0,-0.02800582676783635,0.0042359530879830815
/eos/user/t/tchatzis/reco2pico/CMSSW_15_0_4/src/Reco2Pico/PicoProducer/python/workflows/test_pico_pfoffset.root,ChargedHadrons,-2.5,-1.5,0.5,0.75,72.5,31.0,-0.03645615942115264,0.008517192322670609
/eos/user/t/tchatzis/reco2pico/CMSSW_15_0_4/src/Reco2Pico/PicoProducer/python/workflows/test_pico_pfoffset.root,ChargedHadrons,-2.5,-1.5,0.5,0.75,77.5,35.0,-0.03465897076779843,0.00570831669683884
/eos/user/t/tchatzis/reco2pico/CMSSW_15_0_4/src/Reco2Pico/PicoProducer/python/workflows/test_pico_pfoffset.root,ChargedHadrons,-2.5,-1.5,0.75,1.0,42.5,45.0,-0.1619097465235326,0.012607733552288673
/eos/user/t/tchatzis/reco2pico/CMSSW_15_0_4/src/Reco2Pico/PicoProducer/python/workflows/test_pico_pfoffset.root,ChargedHadrons,-2.5,-1.5,0.75,1.0,47.5,58.0,-0.12634277857382428,0.010455147196575339
/eos/user/t/tchatzis/reco2pico/CMSSW_15_0_4/src/Reco2Pico/PicoProducer/python/workflows/test_pico_pfoffset.root,ChargedHadrons,-2.5,-1.5,0.75,1.0,52.5,47.0,-0.1032623823216938,0.010771643504037321
/eos/user/t/tchatzis/reco2pico/CMSSW_15_0_4/src/Reco2Pico/PicoProducer/python/workflows/test_pico_pfoffset.root,ChargedHadrons,-2.5,-1.5,0.75,1.0,57.5,60.0,-0.07795505352939168,0.008086694164571327
/eos/user/t/tchatzis/reco2pico/CMSSW_15_0_4/src/Reco2Pico/PicoProducer/python/workflows/test_pico_pfoffset.root,ChargedHadrons,-2.5,-1.5,0.75,1.0,62.5,77.0,-0.07984745602936835,0.007875182245039908
/eos/user/t/tchatzis/reco2pico/CMSSW_15_0_4/src/Reco2Pico/PicoProducer/python/workflows/test_pico_pfoffset.root,ChargedHadrons,-2.5,-1.5,0.75,1.0,67.5,67.0,-0.06704163293826824,0.0067448127401323965
/eos/user/t/tchatzis/reco2pico/CMSSW_15_0_4/src/Reco2Pico/PicoProducer/python/workflows/test_pico_pfoffset.root,ChargedHadrons,-2.5,-1.5,0.75,1.0,72.5,31.0,-0.08453711949949784,0.01220241931935403
/eos/user/t/tchatzis/reco2pico/CMSSW_15_0_4/src/Reco2Pico/PicoProducer/python/workflows/test_pico_pfoffset.root,ChargedHadrons,-2.5,-1.5,0.75,1.0,77.5,35.0,-0.06936344089252608,0.008462039489329207
/eos/user/t/tchatzis/reco2pico/CMSSW_15_0_4/src/Reco2Pico/PicoProducer/python/workflows/test_pico_pfoffset.root,ChargedHadrons,-2.5,-1.5,1.0,1.5,42.5,45.0,-0.2423981905811363,0.019140009784488043
/eos/user/t/tchatzis/reco2pico/CMSSW_15_0_4/src/Reco2Pico/PicoProducer/python/workflows/test_pico_pfoffset.root,ChargedHadrons,-2.5,-1.5,1.0,1.5,47.5,58.0,-0.19591396269870215,0.014187168097134465
/eos/user/t/tchatzis/reco2pico/CMSSW_15_0_4/src/Reco2Pico/PicoProducer/python/workflows/test_pico_pfoffset.root,ChargedHadrons,-2.5,-1.5,1.0,1.5,52.5,47.0,-0.14509891608155312,0.01762772335499309
/eos/user/t/tchatzis/reco2pico/CMSSW_15_0_4/src/Reco2Pico/PicoProducer/python/workflows/test_pico_pfoffset.root,ChargedHadrons,-2.5,-1.5,1.0,1.5,57.5,60.0,-0.1344048487798621,0.01232756956636961
/eos/user/t/tchatzis/reco2pico/CMSSW_15_0_4/src/Reco2Pico/PicoProducer/python/workflows/test_pico_pfoffset.root,ChargedHadrons,-2.5,-1.5,1.0,1.5,62.5,77.0,-0.13366448355372995,0.010945003370347067
/eos/user/t/tchatzis/reco2pico/CMSSW_15_0_4/src/Reco2Pico/PicoProducer/python/workflows/test_pico_pfoffset.root,ChargedHadrons,-2.5,-1.5,1.0,1.5,67.5,67.0,-0.12820154261678013,0.012178699897842626
/eos/user/t/tchatzis/reco2pico/CMSSW_15_0_4/src/Reco2Pico/PicoProducer/python/workflows/test_pico_pfoffset.root,ChargedHadrons,-2.5,-1.5,1.0,1.5,72.5,31.0,-0.13486274619466596,0.017564496771465415
/eos/user/t/tchatzis/reco2pico/CMSSW_15_0_4/src/Reco2Pico/PicoProducer/python/workflows/test_pico_pfoffset.root,ChargedHadrons,-2.5,-1.5,1.0,1.5,77.5,35.0,-0.13226293458470276,0.013164929206870308
