file,label,event,nvtx,eta_min,eta_max,category,count
/eos/user/t/tchatzis/reco2pico/CMSSW_15_0_4/src/Reco2Pico/PicoProducer/python/workflows/test_pico_pfoffset.root,ZeroBias,8,45.0,0.0,1.5,chargedHadron,538
/eos/user/t/tchatzis/reco2pico/CMSSW_15_0_4/src/Reco2Pico/PicoProducer/python/workflows/test_pico_pfoffset.root,ZeroBias,8,45.0,0.0,1.5,neutralHadron,14
/eos/user/t/tchatzis/reco2pico/CMSSW_15_0_4/src/Reco2Pico/PicoProducer/python/workflows/test_pico_pfoffset.root,ZeroBias,8,45.0,0.0,1.5,photon,110
/eos/user/t/tchatzis/reco2pico/CMSSW_15_0_4/src/Reco2Pico/PicoProducer/python/workflows/test_pico_pfoffset.root,ZeroBias,8,45.0,0.0,1.5,electron,0
/eos/user/t/tchatzis/reco2pico/CMSSW_15_0_4/src/Reco2Pico/PicoProducer/python/workflows/test_pico_pfoffset.root,ZeroBias,8,45.0,0.0,1.5,muon,0
/eos/user/t/tchatzis/reco2pico/CMSSW_15_0_4/src/Reco2Pico/PicoProducer/python/workflows/test_pico_pfoffset.root,ZeroBias,8,45.0,0.0,1.5,HFHadron,0
/eos/user/t/tchatzis/reco2pico/CMSSW_15_0_4/src/Reco2Pico/PicoProducer/python/workflows/test_pico_pfoffset.root,ZeroBias,8,45.0,0.0,1.5,HFEM,0
/eos/user/t/tchatzis/reco2pico/CMSSW_15_0_4/src/Reco2Pico/PicoProducer/python/workflows/test_pico_pfoffset.root,ZeroBias,8,45.0,0.0,1.5,other,0
/eos/user/t/tchatzis/reco2pico/CMSSW_15_0_4/src/Reco2Pico/PicoProducer/python/workflows/test_pico_pfoffset.root,ZeroBias,8,45.0,1.5,2.5,chargedHadron,384
/eos/user/t/tchatzis/reco2pico/CMSSW_15_0_4/src/Reco2Pico/PicoProducer/python/workflows/test_pico_pfoffset.root,ZeroBias,8,45.0,1.5,2.5,neutralHadron,13
/eos/user/t/tchatzis/reco2pico/CMSSW_15_0_4/src/Reco2Pico/PicoProducer/python/workflows/test_pico_pfoffset.root,ZeroBias,8,45.0,1.5,2.5,photon,16
/eos/user/t/tchatzis/reco2pico/CMSSW_15_0_4/src/Reco2Pico/PicoProducer/python/workflows/test_pico_pfoffset.root,ZeroBias,8,45.0,1.5,2.5,electron,0
