file,label,event,nvtx,nvtx_branch,observable,category,eta_min,eta_max,entries,mean,stddev,q10,q25,median,q75,q90,q95,q99
/eos/user/t/tchatzis/reco2pico/CMSSW_15_0_4/src/Reco2Pico/PicoProducer/python/workflows/test_pico_pfoffset.root,ZeroBias,8,45.0,PV_npvs,puppi_pt,chargedHadron,3.0,5.2,1,0.0625,0.0,0.0125,0.03125,0.0625,0.09375,0.1125,0.11875,0.12375
/eos/user/t/tchatzis/reco2pico/CMSSW_15_0_4/src/Reco2Pico/PicoProducer/python/workflows/test_pico_pfoffset.root,ZeroBias,8,45.0,PV_npvs,pt,neutralHadron,-5.2,-3.0,0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/eos/user/t/tchatzis/reco2pico/CMSSW_15_0_4/src/Reco2Pico/PicoProducer/python/workflows/test_pico_pfoffset.root,ZeroBias,8,45.0,PV_npvs,puppi_pt,neutralHadron,-5.2,-3.0,0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/eos/user/t/tchatzis/reco2pico/CMSSW_15_0_4/src/Reco2Pico/PicoProducer/python/workflows/test_pico_pfoffset.root,ZeroBias,8,45.0,PV_npvs,pt,neutralHadron,-3.0,-2.5,14,4.866071428571429,2.429687243667549,1.3,3.3125,5.25,6.5625,7.575,8.9125,8.9825
/eos/user/t/tchatzis/reco2pico/CMSSW_15_0_4/src/Reco2Pico/PicoProducer/python/workflows/test_pico_pfoffset.root,ZeroBias,8,45.0,PV_npvs,puppi_pt,neutralHadron,-3.0,-2.5,15,0.5541666666666667,1.8396482151638545,0.013392857142857144,0.033482142857142856,0.06696428571428571,0.10044642857142858,0.12053571428571429,7.40625,7.48125
/eos/user/t/tchatzis/reco2pico/CMSSW_15_0_4/src/Reco2Pico/PicoProducer/python/workflows/test_pico_pfoffset.root,ZeroBias,8,45.0,PV_npvs,pt,neutralHadron,-2.5,-1.5,11,2.0625,1.2072225824744844,0.2625,0.96875,2.28125,2.90625,3.1125000000000003,4.43125,4.48625
/eos/user/t/tchatzis/reco2pico/CMSSW_15_0_4/src/Reco2Pico/PicoProducer/python/workflows/test_pico_pfoffset.root,ZeroBias,8,45.0,PV_npvs,puppi_pt,neutralHadron,-2.5,-1.5,11,0.5738636363636364,1.085093399643742,0.015277777777777777,0.03819444444444444,0.07638888888888888,0.11458333333333333,2.8625000000000003,2.93125,2.98625
/eos/user/t/tchatzis/reco2pico/CMSSW_15_0_4/src/Reco2Pico/PicoProducer/python/workflows/test_pico_pfoffset.root,ZeroBias,8,45.0,PV_npvs,pt,neutralHadron,-1.5,0.0,16,1.7265625,0.8463141016157949,0.7,1.25,1.5625,2.0,3.3,3.9,3.98
/eos/user/t/tchatzis/reco2pico/CMSSW_15_0_4/src/Reco2Pico/PicoProducer/python/workflows/test_pico_pfoffset.root,ZeroBias,8,45.0,PV_npvs,puppi_pt,neutralHadron,-1.5,0.0,16,0.140625,0.30257682392245444,0.013333333333333334,0.03333333333333333,0.06666666666666667,0.1,0.12000000000000001,1.275,1.355
/eos/user/t/tchatzis/reco2pico/CMSSW_15_0_4/src/Reco2Pico/PicoProducer/python/workflows/test_pico_pfoffset.root,ZeroBias,8,45.0,PV_npvs,pt,neutralHadron,0.0,1.5,13,2.6490384615384617,2.0553545311018024,0.51875,1.03125,2.34375,3.21875,5.0875,8.16875,8.23375
